0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290
(끌올) 한뮤어 웃남 불판,한뮤어 시네마스테이지 웃는남자 불판,- 뮤지컬 연극 통합 미니 갤러리삼연만 본사인데 드디어 보고왔다나만 오열했니 초연 뉴깡 경아 풋풋하고 너무 잘하더라,신시아나는 진짜 그대로 와...!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cgv 대구 한뮤어 상영 추가 웃는남자 마리앙투아네트 등 몇개 추가오픈 함찔끔찔끔 올려서 아직 주말건 안풀린거같고일단 웃남처돌이는 수금 혐생마치고 갈수있어서 만족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한뮤어 시네마스테이지 웃는남자 불판,삼연만 본사인데 드디어 보고왔다나만 오열했니 초연 뉴깡 경아 풋풋하고 너무 잘하더라,신시아나는 진짜 그대로 와...!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CGV 웃는남자 후기(불호있음) 콤프라치코스 사죄 넘버(?), 자장가 리프라이즈, 내 삶을 살아가 통으로 삭제되고 가든파티도 절반은 날렸더라 난 삼연이 웃남",처음이라초연 가든파티 말로만 들어봤지 기대하고 갔는데 앤여왕 등장하기전에 갑자기 조시아나 데이빗경 어둠의 세계로 넘어감웃남 안본사람은 데이빗경 뭔가 싶을듯 진짜 뜬금포로 넘어갔어깡윈플렌-개인적으로 삼연때보다 초연버전이 더 좋게 들렸음 무엇보다 표정 디테일을 잘 볼 수 있다는게 좋은듯 연기 넘버 다 좋음신시아나-확실히 초연이라 그런가,되게 근엄진지한 느낌이 더 강하더라,삼연때는 좀 여유있는 까탈스러운 조시아나 그 자체였다면내안괴 끝나고 주변사람 와이럼 그리고 아무것도 넘버에서 너의 흉측한 모습뒤에는~ 이거 진짜 대박이더라,초연 조시아나는 걍 광기 그 자체갠적으로 초연 조시아나가 더 좋음양파파-초연이 난 더 좋았어,삼연땐 궁전 부를때 몇개 불호였던게 있었는데 초연에는 딱 더 추가하거나 꾸미지 않고 깔끔히 부르더라,아 그리고 삼연 보면서 마지막에 그윈플렌 자살하러갈때 우르수스는 안잡고 뭐하는거야,했는데 초연때는 마지막에 그윈플렌 놓아주는 씬이 있더라?,그거 보고 좀 맴찢민데아-난 불호였음 뭐랄까 특유의 맑은 목소리 그대로 내는게 아니라 데아가 어린 역할이라 그런가 일부러 목소리를 아이처럼 내는게 듣기 불편했고 넘버중에 추임새?,넣는게 너무 과하게 넣는느낌특히 눈물은 강물에 피비랑 비너스가 강물로 같이 들어갈때 세상 엄청 무서워하고 말 많아지다 갑자기 말없어지고 넘버 이어가는게 오글거렸 근데 분장은 진짜 예쁘더라,초연 가발은 거의 생머리에 웨이브 살짝준 스타일인데 그후 가발들 진짜 노답이여서앤여왕-확실히 초연이랑 삼연 앤여왕은 진짜 다르더라,초연은 좀 우스꽝스러운 느낌이라면 삼연은 좀 품위가 추가된 느낌 확실히 촬영한거라 그런지 일프로 음끄는거 녹음튼게 바로 티남 다 부르고 가만히 멀뚱히 서있다 그대로 쓰러질때 사람들 웃음갠적으로 비너스때 발성듣고 앤여왕 괜찮을까했는데 앤여왕때는 확 바꿔서 다행히 들을만했음데이빗경-초연 데이빗경이 난 더 좋았음 되게 굵고 목소리 자체가 매력있다 해야되나 시원하고 안정감있고 진지하면서 딱 데이빗이랑 맞는느낌페드로-역시 초연부터 삼연까지 하는 이유가 있다,초연 보고 느낀건 넘버 순서도 조금씩 바뀐거 있고 넘버도 음 바뀐게 있더라,ex)궁전 춤추는법 가르쳐줘,여기전까지는 키 낮음그리고 캐릭터 변화 느낀건 데아였 초연은 정말 연약한 데아라면 삼연 데아는 좀 더 그윈플렌에게 용기를 주는 속은 강한 느낌웃남은 확실히 무대랑 넘버 들으러 가는 느낌인듯 자첫할때도사실 몇번 졸았어,오늘 영화 보면서도 좀 졸뻔함(관크 수준으로는 안했어 절대)스토리는 좀 아쉽긴해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한뮤어 웃는남자 끝 지금 웃남,보고 나옴 초연 못사인데 보니까 세트랑 디테일이 조금씩 바뀌었구나 지금이 더 자연스러운 듯앙상블들도 다 아는 얼굴들이어서 반갑고 초연 감독판 가든파티 조시아나 나오고 여왕이 나와서 데이빗경 소개 장면 잘리고 그다음 장면부터 나와서 처음 본 사람은 뭐지,할꺼 같기도 하고 조시아나 넘 버중 내 삶을 살아가 최고인데 그것도 잘려서 아쉽다 극장에서 본 것도 나름 좋았지만 직접 못 본 게 너무 후회됨그리고 넘버 끝날 때마다 속으로 박수침내리기 전에 한 번 더 봐야겠음엽서 받았는데 이쁘다,아 그리고 넘버 끝날 때마다 박수 소리 없어서 무관 중 촬영인 줄 알았는데 커튼콜 때 보니까 관객들 있네박수소리 줄인 걸까???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃는남자 CGV 버전 본사들아?,혹시 앤여왕이랑 데이빗경 누군지 알아?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누군지 모르는 머글에게 정보 알려주면 스포다?,아니다?,예전에 웃남 볼때 근처 앉은 사람이 1막 인터때웃는남자 넘버만 알고 왔는데 아직 안나왔어,옆사람이게 그러길래내가 그거 극 제닐 마지막에 나와요,그랬는데이런 정보 흘리는거 스포일까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가성비 오페라글라스 6개 써본 후기 (feat.,스스줌 잃어버린사람) 안녕하세요 저번에 웃는남자 보러갔다가 스스줌 잃어버렸던 사람입니다.,두번다신 오글 안사려다가..,일단 오글은 없으면 안될 것 같아서 (한번 오글 맛을 보다보니..)새로 구입했습니다.,근데 처음 스스줌 살때는 제가 잘모르는 분야기도하고그냥 비싼게 무작정 좋겠지 싶어 인터넷 추천하는 거 보고 덜컥 샀었는데요,"근데 이번엔 2번째 사는거다보니까, 돈 좀 아껴보고자 직접 공부하고 발품 좀 팔아봤습니다.","(사실 본인 할인&할인, 2층&3층만 찾아다니는 가성비 연뮤덕..)",그리고 이렇게 글을 쓰는 이유는혹시나 저처럼 수십만원 넘어가는 비싼거 말고가성비라인으로 오페라글라스 찾는 분이 있지 않을까해서 입니다.,제가 스스줌 이후에 오글을 샀을 때의 구매기준(?)에 대해서 말씀드려보겠습니다.,제일 중요하게 생각한 것은 역시나 가격대 입니다.,이번에는 절대 10만원이 안넘어가게끔 했습니다.,"스스줌은 큰맘먹고 사긴 했지만 직구로도 10만원이 넘어가다보니,마치 제가 오글을 모시고 다니는 느낌이 들었기 때문입니다.","(잃어버리니 2배로 맘아픔,,)그리고 가격대가 저렴하면 부모님이나 다른사람 빌려주기도 부담없고요",두루두루 활용도 측면에서도 이 가격대가 좋은 것 같다고 생각했습니다.,(이 5만원 이하로도 써보니 성능도 충분했습니다.),그래서 1만원부터 8만원대 사이로 한 6개정도를 직접 사보기도하고 빌려써보기도 했는데요,일단 먼저 이 글을 보는 분들이 초보입문자라는 가정하에오글 구매 전 알면 좋을 간단 지식(?),설명드려볼게요,배율 >>>  얼마나 크게보이는가란 말 / 10배율 내외가 적합 / 그 이상은 흔들려서 못본다.,구경과 시야각 >>> 클수록 밝고 넓게보인다. /,30mm 이하가 적합하다.,렌즈 >>> Bak4인지만 확인할 것 (요즘은 bak4가 거의기본 디폴트 / 시력관련문제) 포커싱방식 >>> 자동이냐 수동이냐  자동은 일일히 초점조절할 필요없어서 관람하기 편하다.,(자동은 흔히 개별초점방식을 말합니다.,이해편의상 자동이라 씀) 수동은 초점 잘맞추면 자동보다 또렷히 볼 수 있다.,(안경쓴 사람들한테 적합)뭐 이정도만 알면될 것 같고 그외쌍안경타입이 포로타입이냐,"루프타입이냐,방수방식이 water proof냐 weather proof냐아이릴리프는 어떤가 등의 질문은 전문, 천체관측할 것도 아니고 실내 공연 관람용으로 사는건데 불필요한 부분 같아서 생략했습니다.",필요하시면 게시판 내 다른 분들이 쓰신 내용 읽어보셔도 될 것 하구요,이러한 내용을 바탕으로 아래는 제가 스스줌 이후에 써본 것들입니다.,1.,니쿠라 (1만원대)2.,링크업 (2~3만원대)3.,럭슨 (3~4만원대)4.,산주광학 콘서트글라스 (6만원 중반대)5.,나시카 (6만원대)6.,아이비노두잉 (7~8만원대)1.,니쿠라 (10배율 / 구경22mm / 시야각 6.5도)- 제일 먼저 싼맛에 써봤습니다.,이것만 쓰면 모르겠지만 다른거랑 비교해보니 확실히 어둡고 흐리게 보입니다.,시야각 차이는 다른제품들에 비해 크게 못느꼈습니다.,비교해보면 작긴하지만 차이가 드라마틱하진 않습니다.,렌즈를 뭘썼는지는 패키지에도 안나와있고 상세페이지에서도 확인을 못했습니다.,그리고 쓰다보니 조금 어지러운 경향이 있었습니다.,(팁은 md부스에서 사기보단 혹시나 급하게 필요하시면 당근에 알아보세요 4천원에 급한대로 종일 빌려쓸 수 있습니다.),2.,"링크업 (10배율 / 구경25mm / 시야각 6.2도)- 박효신 카페였나, 가성비 추천받아서 쿠팡로켓으로 시켜봤습니다.",추천받아 샀지만 개인적으론 니쿠라랑 솔직히 큰차이를 못느꼈습니다.,그냥 외형적으로 좀더 무겁지만 탄탄한 맛(?)은 있습니다.,렌즈 뭐썼는지,확인을 못했습니다.,(안나옴)개인적으로 가진 것들과 포지션도 겹치고 쿠팡로켓이였어서 그대로 환불했습니다.,3.,럭슨 (10배율 / 구경25mm / 시야각 7.8도)- 저랑 한번씩 같이보러 다니시는 분한테서 빌려써보고 구입했습니다.,자동초점 방식이라 확실히 편합니다.,일단 기본적인 스펙은 빠지는데가 없습니다.,"충분히 선명하고 1,2번보다 넓게보입니다.",렌즈는 Bak4 씁니다.,장점이자 단점은 자동초점 밖에 없습니다.,꼭봐야되는 장면에 일일히 초점조절하기 번거롭겠다시면 추천드리고 안경쓰시고 양쪽 시력이 차이나면 비추드려요.,4.,산주 콘서트글라스 (10배율 / 구경25mm / 시야각 5.2도)산주광학이랑 어느 유튜버님이랑 콜라보한 자동초점모델입니다.,럭슨 써보고 자동초점 매력에 빠져서 구매했는데 솔직히 드라마틱한 차이는 못느꼈습니다.,오히려 비싸지만 시야각이 좁았습니다.,가격이 조금 비싼 만큼 따라오는 케이스 및 부속품이 좀더 낫습니다.,국내 A/S되는 장점이 있습니다.,아이비노두잉이랑 그냥 똑같이 생겼습니다.,(로고만 바꾼듯?),Bak4 씁니다.,5.,나시카 스피릿 (20배율 / 50mm / 체감시야각 60도 )지인분의 메인 오글인데 크기에 먼저 놀랐습니다.,그리고 무게가 다른것보다 2~3배는 더 묵직합니다.,때문에 맨손으로 오래들기엔 부담스럽습니다.,직접 구매한 게 아니라 가격대는 인터넷에 보니 6~7만원대 인거 같습니다.,배율이 20배율이라곤 하지만 다른 것과 비교했을 때 한 13~14배율인 것 같습니다.,표정은 확실히 잘보입니다.,근데 저는 휴대성도 중요하기 떄문에 구입은 하지 않았습니다.,6.,아이비노두잉 (10배율/ 25mm / 연뮤덕사이에서 스스줌 다음으로 가장 알려졌습니다.,그 이유가 세종에서 대여 해주는 모델이기 때문이죠,저도 오츠카 수동 대여해봤고.,먼저 무게는 가볍습니다.,"(1,2만원대 제품의 무게와 비슷) 해상도도 일단 기본적으로 충분합니다.",근데 세종기준 3층에서는 역부족입니다.,이거는 10만원대 이하론 공통적으로 다 그런 부분입니다.,"이외에 1,2만원대 저가제품을 제외하곤 특별한 차이는 못느꼈습니다.",물론 소문난만큼 빠지는데 없이 정석같은 느낌이구요.,"총평 >시중의 제품들, 1~2만원대가 아니라면 가격대를 떠나서  10배율이고 구경이 25정도면 세종 2층에서도 아쉬움없이 잘보입니다.","물론 10만원대,20만원대 이상이 더 선명하고 잘보이긴 하지만 그 이상 웃돈의 값어치를 하느냐?",그러면 또 애매해집니다.,"애초에 가성비를 생각하고, 편의성, 휴대성 등을 고려한다면 5만원 이하로도 충분한 것 같습니다.","그러다가 부족함을 느낀다면 하이엔드로 넘어가도 될 것 같은데,저는 당분간 스스줌 없이도 괜찮을 것 같습니다.",물론 개인적인 의견이고 제가 모든 제품을 써본 것이 아니란 점 참고부탁드려요.,하지만 하나씩 더 써보게되면 추가로 글을 남겨보겠습니다.,이외 질문이 있으시다면 남겨주시면 답변드릴게요,글을 못쓰는데 끝까지 봐주셔서 감사합니다.,즐거운 밤되세요!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와일드혼 vs 르베이 시라노 웃는남자 데스노트 마타하리 지킬 몬테 더라키 엑칼 마리앙 레베카 엘리 모차 진짜 넘버다좋음.....,베토벤도 제발....,르베이  마리앙의 운명의수레바퀴같은 때창과 레베카의 레베카같은 극고음곡과 엘리의 그림자길어지고 같은 듀엣곡과 모차르트의 내운피 같은 앙상블과 샤우팅 1막엔딩 기대할게.......,레베카말곤 셋다,1막 엔딩이 각극 최애곡인데 이번에도 뽑아주겠지??  -,dc official App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내 기준 emk 극 호불호 분류인데 모차르트 재밌을까 극호 : 엘리자벳 프리다호 : 마타하리 엑스칼리버 웃는남자보통 : 팬텀불호 : 몬테크리스토극불호 : 레베카좀 볼거리 많고 화려 빵빵 이런 느낌 좋아하는듯??,모차르트는 따지자면 레베카쪽이야,엘리자벳 쪽이야?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
