source,nickname,date,title,text,href
dc,ㅇㅇ,2023.01.10 11:22:06,베토벤 웃남보다 더 구릴것 같네....,"

웃남도 노잼이었는데
모든 면에서 다운그레이드 일듯

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522430&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.10 10:34:09,웃남도 베토벤도 쿄가 불러야 개쩌는 곡이 된다는거,"

또
 
느끼네
 
ㅋㅋㅋㅋ
- dc official App

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522373&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.10 10:32:15,웃남때도 반응이랬을것같은데,"

까보면 대박일것같긔

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522370&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.09 21:39:32,쿄웃남은 쿄가 다했다며 근데 왜 후보에 없음?,"

???

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522234&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.09 18:58:34,은빠야 웃남때 신사처럼 가만있었더니 쿄를 개호구로 봤다며,"

많이
 
배웠다
- dc official App

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522024&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.09 14:48:38,예매창보면 쿄는 진짜 넘사벽이라는걸 알게됨,"

웃남에 이어 베토벤도 전석매진중

",https://gall.dcinside.com/board/view/?id=theaterM&no=3521856&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.07 15:57:23,뉴깡은 웃남 할만해서 주연됨? 앰개가 소속배우 최대푸시 당연하지,"

뭘 보고 뉴깡보다 덜 밀어줄거라고 확신하는지

",https://gall.dcinside.com/board/view/?id=theaterM&no=3520921&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.06 00:22:18,웃남노잼라이팅처럼 베토벤 노기대라이팅중임???,"

일단 난 베토벤 표없음 
근데 오늘 노기대라는 글 왜저리 많이 올라오노?ㅋㅋ 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3520368&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.03 00:19:00,웃남 재밋어?,"

시지비애서
 
해주는데
 
불가

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517814&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:15:54,한남 웃남에 풀발하는거 잘보고갑니다,"

ㅂㅂ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517599&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:12:20,223.38 몽녀니니?,"

웃남 노잼이라니까 풀발하노

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517590&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:11:31,웃남이 극 자체가 갓극이었으면 쿄없는 재연도 잘팔았어야지,"

그때 텅텅이었다고

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517585&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:11:17,웃남이 노잼인데 왜 지가 발작,"

ㅋ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517584&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:10:06,웃남으로 팩폭쳐맞으니 웨사스로 플돌리는 꼬라지,"


",https://gall.dcinside.com/board/view/?id=theaterM&no=3517580&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:05:56,비단길외치는놈이 웃남쉴드자빠졌으니,"


",https://gall.dcinside.com/board/view/?id=theaterM&no=3517569&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 18:01:00,웃남은 그윈이 본진이면 재밌음,"

근데 본진이나 애배없으면 개지루

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517563&s_type=search_subject_memo&s_keyword=웃남&page=1
dc,ㅇㅇ,2023.01.02 17:57:26,웃남이 존잼이었으면 배우 상관없이 잘 팔았어야지,"

재연때 쿄 빠지고 존나 텅텅이었는데

",https://gall.dcinside.com/board/view/?id=theaterM&no=3517559&s_type=search_subject_memo&s_keyword=웃남&page=1
