source,nickname,date,title,text,href
twitter,eun_tae_is_love,2022-11-30 23:32:04+00:00,,"요즘 뮤얘기읽으면 울컥함...뭘까
특히 웃남
나 그만큼사랑했나... 사랑은하는데.....",https://twitter.com/twitter/status/1598097560128061440
twitter,sTar_reQiem,2022-11-30 23:25:08+00:00,,RT @chachacha_cg: 웃남엘리페어 https://t.co/eCsFRhR6Xm,https://twitter.com/twitter/status/1598095818200084480
twitter,samil665,2022-11-30 23:24:16+00:00,,RT @chachacha_cg: 웃남엘리페어 https://t.co/eCsFRhR6Xm,https://twitter.com/twitter/status/1598095597592248320
twitter,zevlemong,2022-11-30 23:21:34+00:00,,RT @chachacha_cg: 웃남엘리페어 https://t.co/eCsFRhR6Xm,https://twitter.com/twitter/status/1598094921025880065
twitter,theatre_woooo,2022-11-30 21:57:35+00:00,,"9. 모세-그눈떠-웃남: 드디어 곡이 넘어가는 서사를 볼 수 있었어. 최고야
10. 핱타 총총막 때 서로 보고 웃던 캉솨 잊지 못해!!!!!
11. 시뎨 용렘힘, 아이댜 솨굥잶
12. 할 수 있지? 그럼!… https://t.co/WQFjonST8D",https://twitter.com/twitter/status/1598073782606131200
twitter,0SU___,2022-11-30 17:23:25+00:00,,ㅅㅊㅇ 연뮤 뮤지컬 MD 양도 프로그램북 플북 대본집 뱃지 더라스트키스 더라키 팬텀 레베카 데스노트 웃는남자 웃남 팬레터 마리 앙투아네트 마리앙 사의찬미 사찬,https://twitter.com/twitter/status/1598004788150427650
twitter,ehsdjqtdj_0,2022-11-30 17:09:43+00:00,,엑칼 웃남 프슈 난 다 못사인데😶,https://twitter.com/twitter/status/1598001340180967424
twitter,miruukyokyo,2022-11-30 16:35:16+00:00,,예쁜 웃남 가족… 사랑해…. https://t.co/4cilFbEGMa,https://twitter.com/twitter/status/1597992669422424064
twitter,gamjazorim,2022-11-30 15:55:50+00:00,,@soohapia 웃남 메가박스 개봉기념 무대인사였던걸로 기억해요!! https://t.co/exBohBI1hn 이때!,https://twitter.com/twitter/status/1597982747691454466
twitter,kkang_bbang,2022-11-30 15:19:57+00:00,,아나 지금 보니까 딱 12시에 출첵왔네 12시 기다렸다가 썼나봐 ㅁㅊ 어떡하냐 너무 귀여움!!!! ㅠㅠㅠㅠㅠ 밴님도 날추운데 감기 조심하시구 전 날 추워서 웃남이 너무 보고싶어요(?) 그래서 웃남 사연 언제 와,https://twitter.com/twitter/status/1597973717308833794
