source,nickname,date,title,text,href
dc,ㅇㅇ,2022.12.30 10:33:44,4000억  뮤지컬 시장,"

https://n.news.naver.com/article/016/0002084763?sid=103
 
대작·스타·창작 약진…4000억원 뮤지컬 시장, 2023년은?
4년 만에 뮤지컬로 복귀한 박효신의 ‘웃는 남자’, 뮤지컬계 슈퍼스타 김준수의 ‘데스노트’, ‘엘리자벳’, ‘웨스트 사이드 스토리’, 홍광호의 ‘지킬 앤 하이드’, ‘데스노트’…. 강력한 티켓 파워의 배우들이 쉴 틈
n.news.naver.com
올해 뮤지컬계 가장 큰 이슈가 옥장판이래 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3515346&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.12.15 17:56:04,몽년이가 라이센스 주류를 창작으로 바꾸어놓을거래,"

EMK뮤지컬컴퍼니는 최근 '마타하리'와 '
웃는 남자' 등 여러 대극장 창작 뮤지컬을 기획 및
 
제작해오고 있다. 그간 국내 창작 뮤지컬을 들고 세계 시장에 진출하겠다는 목표를 여러 차례 밝혀왔던
 
엄 대표는 '베토벤'을 통해 그 목표를 이루겠다는 포부를 드러냈다.
 
그는 ""'베토벤'은 처음부터 세계로 나가는 걸 목표로 무대와 세트 구성 등 모든 단계에서 해외 진출을 고려해서 만들고 있다""며 ""이미 많은 해외 제작사로부터 반응이 오고 있고 내년 1월 말쯤에는 좋은 소식을 들려줄 수 있을 것""이라고 전했다.
 
베토벤'의 연출은 베를린, 뮌헨, 비엔나 등
 
유럽의 대극장에서 '레미제라블', '웨스트사이드
 
스토리', '지킬 앤드 하이드' 등을 연출한
 
연출가 길버트 메머트가 맡았다.
 
메머트 연출이 한국 작품에 참여한 건
 
이번이 처음이다.
 
""익숙한 베토벤의 음악에 가사가 붙어서
 
어색해지지 않도록 배우들과 심혈을 기울이며
 
작업하고 있다""며
 
""작업을 할수록 사람의 목소리만큼
 
아름다운 악기가 없다는 사실을 새삼 느끼며
 
작품에 대한 기대감과 확신을 가지게 됐다""고 자신감을 드러냈다.
앞으로는 라이센스가 주류였던 것을
 
창작으로 바꾼다. '벤허'도 업그레이드 할 것이고
 
내 후년에도 창작 뮤지컬을 제작중이다.

",https://gall.dcinside.com/board/view/?id=theaterM&no=3506304&search_pos=-3449686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.12.07 15:14:09,창작뮤 중 가장 작품성이 뛰어난건 뭐임?,"

후보
1.웃는 남자
2.프랑켄슈타인
3.마타하리
4.시라노
세계 뮤지컬 시장에 내놓아도 꿇리지않을만한 극 뭐임?
난 개인적으로 웃남이라고 생각
프랑켄은 뭔가 중2병 감성이라

",https://gall.dcinside.com/board/view/?id=theaterM&no=3502846&search_pos=-3449686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.11.18 10:36:12,베토벤 킬링 넘버 무조건 하나는 있겠지..,"

그눈을 떠, 웃는 남자, 레베카 act2 급은 있어야 17로 욕 안 먹는다 진짜
이대로면 곤란해 진심...

",https://gall.dcinside.com/board/view/?id=theaterM&no=3494173&search_pos=-3439686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.11.14 01:13:56,"""손익분기점 넘긴 '웃는 남자' 이제는 해외로 나갑니다""","

[이데일리 장병호 기자] 침체된 뮤지컬시장에서 승승장구를 이어가고 있는 곳이 있다. 공연제작사 EMK뮤지컬컴퍼니(이하 EMK)다. EMK가 올해 선보인 두 번째 창작뮤지컬 ‘웃는 남자’는 예술의전당 오페라극장에 이어 블루스퀘어 공연까지 흥행하며 175억 원이라는 높은 제작비에 대한 우려를 무색하게 만들었다.
지난 13일 서울 용산구 블루스퀘어에서 만난 김지원 EMK 부대표는 “‘웃는 남자’는 예술의전당 공연을 마치고 블루스퀘어로 넘어갈 시점에 손익분기점을 넘겼다”고 말했다. EMK 작품의 해외 진출 업무를 총괄하는 김 부대표는 전날 영국 런던에서 돌아와 이날 한국콘텐츠진흥원이 주최한 ‘제3차 콘텐츠 인사이트’ 강연에 참석했다. 그는 “‘웃는 남자’에 대한 해외 반응도 좋다”며 “작품이 많은 사랑을 받아 감사하다”고 말했다.
쿄가 큰일 했다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3490513&search_pos=-3429686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.11.11 12:35:16,베토벤의 오리지널 음악을 모던하게 변주하고 재해석한  아름다운 음악,"

탁월한 스토리텔링, 완벽한 음악, 환상적인 무대
현존하는 가장 위대한 마스터피스
탄탄한 플롯 안에 강렬한 감정을 담은 드라마
인류의 위대한 유산이라 평가받는
 
‘월광’, ‘비창’, ‘환희의 송가’ 등
베토벤의 오리지널 음악을 모던하게 변주하고 재해석한
 
아름다운 음악
<마타하리>, <웃는 남자>로 무대예술상을 휩쓴
 
EMK가 자부하는 압도적 스케일
 
뮤지컬에서는 볼 수 없었던 역대급 규모!
 
완전 새로운 스타일의 무대
인팍 베토벤-

",https://gall.dcinside.com/board/view/?id=theaterM&no=3488374&search_pos=-3429686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.09.15 17:12:46,관람 소감을 묻자 대뜸 “(박)효신은 국보”라는 답이 돌아왔다. ,"

관람 소감을 묻자 대뜸 “(박)효신은 국보”라는
 
답이 돌아왔다.
 
박효신의 그윈플렌(‘웃는 남자’)을 본 흥분이
 
가라앉지 않은 듯한 모습이었다.
 
https://m.kukinews.com/newsView/kuk202207020018

",https://gall.dcinside.com/board/view/?id=theaterM&no=3450015&search_pos=-3389686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.08.19 04:06:18,웨사스 연습실에서 웃는 남자 둘 발견,"

엘리 공연하러 출퇴근하는 샤톧을 보며 
사연 했던 뉴깡케니와 택톧은 웃는다

",https://gall.dcinside.com/board/view/?id=theaterM&no=3430564&search_pos=-3369686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ,2022.08.01 17:44:57,뮤린이가 마타하리 볼만함?,"

웃는남자만 2번 봐본 뮤린이인데 사실 박효신 떄문에 본 거지 뮤지컬에 관심도 없었거든.. 근데 웃는 남자보고서 뮤지컬에 빠져서 엘리자벳까지는 예약했는데 마타하리 막바지라 볼까말까 고민중,, 스토리랑 넘버가 너무 힘빠진다는 평이 많고 마지막 순간 하나로 캐리하는 작품이라 들어서..
개인적으로 웃는 남자는 넘버랑 무대 연출이 너무 풍성해서 보기 좋았음 스토리는 별로였다 생각하고.. 이런 사람이 마타하리 보기 괜찮을까?

",https://gall.dcinside.com/board/view/?id=theaterM&no=3425703&search_pos=-3369686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
dc,ㅇㅇ ,2022.07.18 01:28:50,웃는 남자 박은태 vs 박강현 누가 나아 ? ,"

박효신님은 표 못구할거 같고 둘중에 어느 배우님이 더 나아 ? 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3424950&search_pos=-3369686&s_type=search_subject_memo&s_keyword=웃는 남자&page=1
