source,nickname,date,title,text,href
twitter,yaganhero,2022-11-30 05:50:09+00:00,,"앞머리 동글동글 사르르 온미남인데 
점심시간에 농구하고나서 앞머리 넘기면서 씩 웃는 안수호보고 빛나는 그 애의 미모에 벽산중학교 운동장 두 쪽으로 갈라짐 그날 567교시 내내 여자반 남자반 가릴것없이 미친 봤냐? 봤어? 하게되는",https://twitter.com/twitter/status/1597830322548527104
twitter,reach_0525,2022-11-30 05:49:49+00:00,,RT @jenoisgomaji: 이 시발 다시 보니깤ㅋㅋㅋㅋ민이 웃고잇네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남편이 칼 들어도 웃는 남자가 상남자야 https://t.co/4umxcDIKC8,https://twitter.com/twitter/status/1597830239048306688
twitter,whroxkd0504,2022-11-30 05:03:40+00:00,,"하.... 짜증나.....
저런 얼굴에 빠진 내가 너무 자랑스러워....
웃는 것도 귀엽고 인상 찌푸려도 귀엽고 입 쭉 내민 것도 귀엽고 길 가다가 영상 찍은 것도 귀엽고
당최 안 귀여운 게 없는 남자임",https://twitter.com/twitter/status/1597818624450125824
twitter,sim_commu,2022-11-30 04:40:15+00:00,,"@haryuyoung

쾌활한 성격의 썬그라스를 쓴 덩치 큰 남자. 특별한 첫 인상은 없을 듯. 사교성이 좋은 상대이기에 원활한 대화 진행이 가능하겠지만, 범죄자란걸 알면 냉소할 것 같다. 웃는 얼굴로 다가… https://t.co/qsMe9lpHGP",https://twitter.com/twitter/status/1597812730555404288
twitter,onlyhy5813,2022-11-30 04:36:24+00:00,,RT @myonlykingsuga: 민떤남자 웃는 거 너무 좋아서 소주병으로 내 머리치는 거 이제 내성 생겨서 소주 공장에 내 머리 쳐박으러 감. https://t.co/S74SwoAxFx,https://twitter.com/twitter/status/1597811760622632960
twitter,jj8142_3,2022-11-30 04:29:37+00:00,,RT @jenoisgomaji: 이 시발 다시 보니깤ㅋㅋㅋㅋ민이 웃고잇네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남편이 칼 들어도 웃는 남자가 상남자야 https://t.co/4umxcDIKC8,https://twitter.com/twitter/status/1597810056124600320
twitter,page2300,2022-11-30 04:23:38+00:00,,이 일이 벌어지지 않았다면 그녀를 보는 일도 일어나지 않았으리라. 그 빨간 구두와 금 브로치와 윤기나는 갈색 머리도. 또한 남은 평생 동안 누군가 맨발로 그의 가슴속을 뛰어다니는 것 같은 느낌을 주게 될 그… https://t.co/bEt8pl8VBF,https://twitter.com/twitter/status/1597808549354442753
twitter,RJ0323l_l,2022-11-30 03:56:08+00:00,,RT @drforever_: 저기.. 어떤남자 너무 크게 웃는데요 https://t.co/m3aXChQHP2,https://twitter.com/twitter/status/1597801626705633280
twitter,Jenobyul2305,2022-11-30 03:43:13+00:00,,RT @jenoisgomaji: 이 시발 다시 보니깤ㅋㅋㅋㅋ민이 웃고잇네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남편이 칼 들어도 웃는 남자가 상남자야 https://t.co/4umxcDIKC8,https://twitter.com/twitter/status/1597798378016235520
twitter,wdbzlover,2022-11-30 03:41:30+00:00,,RT @youngbin_boyz: 영빈이 뽀작뽀작 방방 바타 웃는게 이쁜 남자 https://t.co/CNJ7l9mVyh,https://twitter.com/twitter/status/1597797945742884864
twitter,iyeyo_k,2022-11-30 03:39:19+00:00,,버석버석한 남자가 활짝 웃는게 좋음…,https://twitter.com/twitter/status/1597797396494553089
twitter,skyid_genshin,2022-11-30 03:31:57+00:00,,"너무 많은 욕트 죄송합니다ㅠ 서클트도 아닌데...
갑자기 급발진해버렸네요...
하지만 어쩔수가 없어요 어떤 사람들은 현생에 남자들 생각하면 웃는데 전 욕이 나와요",https://twitter.com/twitter/status/1597795541668216832
twitter,xabluevraa,2022-11-30 03:25:28+00:00,,"RT @lemon00323: 와 근데 런쥔이는 내가 드림이었거나 
내가 같은 남자였어도 귀여워죽을라할듯
웃는거봐 새삼 느꼈어요 그냥 https://t.co/aVsLbD6rca",https://twitter.com/twitter/status/1597793912290435072
twitter,sssll__99,2022-11-30 03:22:23+00:00,,"이남자 싸이코 재벌집 아들 연기 보고싶다
마음에 안들면 골프채로 머리깨고 피 슥슥 닦으면서 피 철철 흐르는 사람 머리 쓰다듬으면서 웃는 그런거 https://t.co/fYdLt0rs8Y",https://twitter.com/twitter/status/1597793134918107137
twitter,fortytrackS2,2022-11-30 03:18:30+00:00,,...........진짜 얘 좋아하고 나서 비엘이라는 것의 맛을 완전 잃어버리고 최대고조의 이상성욕자+유사러+정병 이 세가지 시너지와서 얘가 다른외갓남자랑 붙어먹는거 보면 씹탑견제하다가 정신병오고 앓아누움… https://t.co/ipoZz6J6an,https://twitter.com/twitter/status/1597792156030472193
twitter,guamoripotaku,2022-11-30 03:16:17+00:00,,"무심한데 당신에게만다정한남자…
취향 아니란 말이죠
무심하고 나름친한사람한테도무심한데 나름 친하면 무뚝뚝하게 대답해주는 것 같아 보여도 가끔 표정이 살짝 풀어져서는 그 상대방이 정말 좋다는 듯이 웃는 남자&lt;여기부터가 취향의 영역",https://twitter.com/twitter/status/1597791600335208448
twitter,liu_one_0214,2022-11-30 03:03:29+00:00,,"@Crowlibrary_G "".......""

남자는 괴이의 입맞춤이라는 기대되는 말에 입을 꾹 물고 두손으로 눈가를 문질러 닦아냈다. 불긋하기 물든 눈으로 기분좋게 웃는 얼굴이 영악한 아이의 꾀부리는 얼굴처럼 맑기 그지 없었다.",https://twitter.com/twitter/status/1597788377751105536
twitter,sadf1562,2022-11-30 03:00:52+00:00,,"RT @talkingneco: 루이 정말 '강강약약'의 표본이라
선 넘는 사람은 웃는 얼굴로 가차없이 비꼬는데
약한 존재한테는 한없이 다정해지는 게
진짜 남자라는 것임 https://t.co/V9QNi8o8EG",https://twitter.com/twitter/status/1597787718695915520
twitter,kud5d,2022-11-30 02:20:58+00:00,,남자들 댓글에 피식피식 웃는게 너무 자존심상헤시발 https://t.co/O74wrM9NgN,https://twitter.com/twitter/status/1597777677100158976
twitter,naeunluvu,2022-11-30 02:14:33+00:00,,"RT @0_1__I: 박봉팔 좋은 점

카톡프사나 인스타 스토리나 어딜봐도 남자랑 있고 스토리도 당연히 남자쪽이 찍어준걸로 추정되는데
와중에 하민이 환하게 웃는 사진에 스토리 좋아요 보냄
질투는 나지만
웃는 말랑하민은 또 좋음
그걸 찍어준게 모르는…",https://twitter.com/twitter/status/1597776064952283136
twitter,vata_bin,2022-11-30 02:05:42+00:00,,RT @youngbin_boyz: 영빈이 뽀작뽀작 방방 바타 웃는게 이쁜 남자 https://t.co/CNJ7l9mVyh,https://twitter.com/twitter/status/1597773836682145793
twitter,youngbin_boyz,2022-11-30 02:00:59+00:00,,영빈이 뽀작뽀작 방방 바타 웃는게 이쁜 남자 https://t.co/CNJ7l9mVyh… https://t.co/VojifcUJjY,https://twitter.com/twitter/status/1597772648104464384
twitter,liu_one_0214,2022-11-30 01:59:03+00:00,,"@deydeydaisy ""아...진짜 놀랐잖아. 형님 짖궂네.""

당신의 말에 눈만 굴리던 남자는 안도한 듯 웃다가 이내 툴툴거리며 흘겨보는 꼴이 심통난 애처럼 어리고 한량처럼 경박하고 가벼웠다. 이내 살갑… https://t.co/1DCuZPtweY",https://twitter.com/twitter/status/1597772163159052289
twitter,summer_mond,2022-11-30 01:56:47+00:00,,"RT @dor0mi: 이은혁 진짜 지능캐 맞는 이유
멀쩡한 성인여자를 아직까지 스위트홈에 발목잡히게 함 잘살고 잇다가도 마지막 &lt;슬프게웃는이은혁&gt; 상상만하면 한없이 무너져서 엉엉 울게 됨 이남자나한테대체뭔짓을한거냐고 https://t.co/YWzdU…",https://twitter.com/twitter/status/1597771594134216704
twitter,0_1__I,2022-11-30 01:43:13+00:00,,"RT @0_1__I: 박봉팔 좋은 점

카톡프사나 인스타 스토리나 어딜봐도 남자랑 있고 스토리도 당연히 남자쪽이 찍어준걸로 추정되는데
와중에 하민이 환하게 웃는 사진에 스토리 좋아요 보냄
질투는 나지만
웃는 말랑하민은 또 좋음
그걸 찍어준게 모르는…",https://twitter.com/twitter/status/1597768178117251072
twitter,97110m,2022-11-30 01:39:07+00:00,,상처 달고 웃는 게 잘어울리는 남자,https://twitter.com/twitter/status/1597767145639010304
twitter,iszitt,2022-11-30 01:39:02+00:00,,"RT @p_o_zi: 입가리고 웃는 조신한 함떤남자 모음.mp4
개귀여우니까 다들 공유해주길

#원진 https://t.co/7OYbjhOGlz",https://twitter.com/twitter/status/1597767125581824001
twitter,24__mxk,2022-11-30 01:19:38+00:00,,"웃는 얼굴이 시원시원하고 쾌활한 목소리의 키 큰 남자

키 크다는 거 강조해주는거 넘 귀엽고 좋다 나의 거대아기곰",https://twitter.com/twitter/status/1597762245601431552
twitter,nom__saeng,2022-11-30 00:38:25+00:00,,"RT @nimiral181818: 용비와적성?을 볼때마다
그냥 용비가 적성에게 대줬으면 어땠을까...란 생각이 들어버림
소년만화 남자들은 입이 무슨.배설기관인지..
말같지도 않은 말로 서로를 상처주고
사랑하고.저주하고

마지막에

""대장님의 웃는 모…",https://twitter.com/twitter/status/1597751871086919682
twitter,ghkdfjswnls0323,2022-11-30 00:34:53+00:00,,RT @jak3yl: 너는 진짜 웃는 얼굴이 세상에서 제일 아름다운 남자야.. https://t.co/Qlnz8hg2gJ,https://twitter.com/twitter/status/1597750980908834816
twitter,nitha_gaemgyuu,2022-11-30 00:04:05+00:00,,RT @letter_KYU: 웃는 남자🙂🙂🙂 #규현 https://t.co/lNkPCHzbWM,https://twitter.com/twitter/status/1597743228664819712
twitter,Dream9_clock,2022-11-30 00:00:33+00:00,,남자 둘만 있는 것은 어떻냐는 소녀의 질문에 설핏 웃는 소하의 9시. 그에게 문제는 남자가 둘이란 게 아니라 그의 곁에는 언제나 사람이 둘뿐이란 데에 있었다. 하지만 이제는 괜찮지 않은가. 소하는 작게 중얼거렸다. 이 설궁에도 겨우내 꽃은 피었으니.,https://twitter.com/twitter/status/1597742340055400448
twitter,protof1icker,2022-11-29 23:53:03+00:00,,"RT @0_1__I: 박봉팔 좋은 점

카톡프사나 인스타 스토리나 어딜봐도 남자랑 있고 스토리도 당연히 남자쪽이 찍어준걸로 추정되는데
와중에 하민이 환하게 웃는 사진에 스토리 좋아요 보냄
질투는 나지만
웃는 말랑하민은 또 좋음
그걸 찍어준게 모르는…",https://twitter.com/twitter/status/1597740454401179648
twitter,mSqvldsHehi7TT1,2022-11-29 23:22:08+00:00,,RT @jak3yl: 너는 진짜 웃는 얼굴이 세상에서 제일 아름다운 남자야.. https://t.co/Qlnz8hg2gJ,https://twitter.com/twitter/status/1597732673010929665
twitter,lovE_4_u0,2022-11-29 23:03:05+00:00,,"RT @lemon00323: 와 근데 런쥔이는 내가 드림이었거나 
내가 같은 남자였어도 귀여워죽을라할듯
웃는거봐 새삼 느꼈어요 그냥 https://t.co/aVsLbD6rca",https://twitter.com/twitter/status/1597727878124568577
twitter,gamja0730,2022-11-29 22:39:07+00:00,,"RT @pi011200ri: 그런 말 억울해하면서도 여우처럼 이용해먹었으면 좋겠어요. 
- 그럼 네가 길들여줘. 너랑만 하고 싶게. 어느 누구에게도 만족하지 못하게. 
하고 발랑까진 얼굴로 야시시하게 웃는 정은성. 
남자랑 하는 것도, 누군가랑 마음…",https://twitter.com/twitter/status/1597721847210340352
twitter,opp1147,2022-11-29 21:51:24+00:00,,"160142
안 그래요, 윤선생님!」철민이 어머니가 내 눈치를 보면서 슬쩍 웃는다. 해운대호텔출장 화성국제테마파크 신촌 다정하게 지냈습니다.” 상대편 남자는",https://twitter.com/twitter/status/1597709840159162369
twitter,miumyao12,2022-11-29 21:03:11+00:00,,웃는게 세상에서 제일 사랑스러운 남자 https://t.co/K5FZsqBvF5,https://twitter.com/twitter/status/1597697703794085889
twitter,wodbslrns,2022-11-29 19:46:33+00:00,,RT @jak3yl: 너는 진짜 웃는 얼굴이 세상에서 제일 아름다운 남자야.. https://t.co/Qlnz8hg2gJ,https://twitter.com/twitter/status/1597678422301425671
twitter,lovehatewe,2022-11-29 19:41:59+00:00,,아니 진심 말해도 말해도 좋은 거: 헨 그냥 수시로 개지랄 떨듯 위선 떨지 마 게다가 너 딱히 누구라도 상관 없잖아 이러는 거에 진심으로 정곡 찔려서 아무 말 안 하고 웃는 에떤남자… 헨 그거 무슨 맥락인지… https://t.co/pxiggr4H0b,https://twitter.com/twitter/status/1597677270822711296
twitter,luvHALU,2022-11-29 19:23:14+00:00,,"RT @Can_u_feel_it__: 이강인 해냈다
윤두준 이 남자가 웃는다고요 https://t.co/N2jKU8qaj8",https://twitter.com/twitter/status/1597672554357207040
twitter,ecyyec,2022-11-29 19:13:31+00:00,,RT @jenoisgomaji: 이 시발 다시 보니깤ㅋㅋㅋㅋ민이 웃고잇네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남편이 칼 들어도 웃는 남자가 상남자야 https://t.co/4umxcDIKC8,https://twitter.com/twitter/status/1597670106045108224
