source,nickname,date,title,text,href
dc,ㅇㅇ,2023.01.10 11:13:23,너의 운명 사랑은 잔인해 쿄가 부르면 개쩔 대곡이야,"

웃는남자처럼
 
ㅋㅋㅋㅋㅋㅋ
 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522423&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2023.01.09 19:29:45,정리 잘 되어있네 ㅋㅋ,"

https://kirai.tistory.com/572
 
박효신 뮤지컬 특혜? MD도 단독판매..특별대우 논란 웃는남자 현 상태
박효신 노래실력, 뮤지컬 실력과 인기, 관객동원능력은 의심할 사람이 아무도 없죠. 하지만 인성 문제라든지 소속사 관련.. 꾸준히 잡음과 논란이 나는게 바로 박효신인데요. 제2의 옥주현인가요. 박효신이 뮤지컬계에서 특별대우 받고 특혜, 차별대우 받는다고 말이 나오네요. 이번 웃는남자 보면 진짜.. 너무 심한데요. 박효신과 공동 캐슷인 박은태, 박강현이 불쌍할 정도. 먼저 웃는남자 캐스팅부터 말이 많았어요. 공식 캐스팅 발표전에, 박효신이 먼저 캐슷 스포를 했죠? 제작사와 협의가 있었어도 특혜고, 협의 없었으면 배신행위죠. 근데 그뿐만이 아님. 보시다시피 포스터에 보면 의상부터가 박효신 혼자 다름..박은태 박강현등 그윈플렌 다른 배역들은 빨간 머플러인데.. 머플러만 다른게 아니죠. 프로필 사진도 전부 달라요..
kirai.tistory.com

",https://gall.dcinside.com/board/view/?id=theaterM&no=3522101&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2023.01.09 15:55:54,골라봐,"

엘리자벳 모차르트 레베카
마리앙투아네트 베토벤
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
지킬앤하이드 드라큘라 황태자루돌프 
몬테크리스토 데스노트 마타하리
웃는남자 엑스칼리버
어느쪽이 취향임?
극 말고 넘버!!!!!

",https://gall.dcinside.com/board/view/?id=theaterM&no=3521901&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.28 14:56:10,내가 본 극중 최악의 노잼극,"

웃는남자

",https://gall.dcinside.com/board/view/?id=theaterM&no=3513775&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.18 21:10:28,김준수 당장 다음 충무 웨사스 공연 잔여석 248석,"

박효신
 
세종
 
웃는남자
 
전석
 
매진
 
예당
 
베토벤
 
매진

",https://gall.dcinside.com/board/view/?id=theaterM&no=3508270&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.18 17:15:47,샤 V 쿄 필모 ,"

 샤 ㅡ모차르트
엘리자벳 
천국의 눈물
디셈버 
데스노트
도리안 그레이 
 드라큘라 
엑스칼리버
쿄ㅡ팬텀
웃는남자 
         

",https://gall.dcinside.com/board/view/?id=theaterM&no=3508006&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.13 23:44:25,엠디플은 항상 이지랄임,"

@ : 개인 엠디부스는 좀 그렇다..
@@: 왜요? 우리 배우가 캐슷만 됬다 하면 전석매진에 극 대표하는 메인 캐릭터ㅋㅋ고 머글대표 가수겸뮤지컬배우인데요?
@ : ? 아니 그게 아니라 회사 MD부스보다도 크게 운영하고 다른 배우들과 함께하는 부스도 아니고 배우 단독 부스라는 점이...이게 웃는남자인지 웃는쿄신인지 ..!
 
@@ : 왜요? 엠개는 직접 디자인한 굿즈 판매해주겠다니까 소위 남는 장사라 ㅇㅋ 해준거에요 외부 브랜드랑 협업해서 부스 설치까지 본인이 직접한거에요 저희 배우는 엠디 만드는 걸 참 좋아해요 디자인도 직접 하구요
 
@ : 아 (어쩌라는거지) 그렇구나... 하지만 설명을 들어도 직접 디자인하신 그 굿즈를 웃는남자 공연장에서 굳이 부스를 두 개나 두고 파는게 이해가 잘 안되네요 ...? 개인 온라인 판매도 있고
 
@@ : 솔직히ㅋㅋ웃남 우리배우가 다 키운 거 아시죠? 우리배우가어쩌고저쩌고전석매진어쩌고저쩌고팬들이좋다는데뭔상관이냐어쩌구저쩌구니네그냥개쩌리배우어쩌구저쩌구우리배우가어쩌구저쩌구꼬우면니네도어쩌구저쩌구한줌이라뭘알겠노ㅋㅋ어쩌구저쩌구부러워요?부러우면니네도엠개한데해달라그래어쩌구저쩌구ㅋㅋ
@ : ?;;;

",https://gall.dcinside.com/board/view/?id=theaterM&no=3505645&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.07 14:43:29,엠게 세종 1회매출 3.3억 웃는남자로 기업이 대대손손,"

부흥
 
창작극
 
미친듯이
 
쳐
 
만들
 
급이
 
됨
 
ㅋㅋㅋ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3502785&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.07 14:34:25,쿄 한국창작극 웃는남자 초연 24만ㅋㅋ세종 40회 전석매진,"

ㅋㅋㅋㅋㅋㅋㅋ

",https://gall.dcinside.com/board/view/?id=theaterM&no=3502764&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.12.07 14:33:39,조 홍 쿄 작품 필모 2016 이후 기준,"

2016 베르테르, 헤드윅, 스위니토드 
2018 지킬앤하이드 
2019 지킬앤하이드, 스위니토드 
2020 스위니토드 
2021 맨오브라만차, 헤드윅 
2016 빨래, 노트르담드파리 
2017 미스터마우스, 시라노, 햄릿얼라이브 
2018 맨오브라만차, 지킬앤하이드 
2019 스위니토드 
2020 스위니토드 
2021 맨오브라만차,그레이트코멧,지킬앤하이드 
2022 데스노트,물랑루즈 
2016 팬텀 
2017 팬텀 
2018 웃는남자 
2022 웃는남자 

",https://gall.dcinside.com/board/view/?id=theaterM&no=3502761&search_pos=-3449687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.11.28 12:04:05,웃는남자 창작 초연 유례없는 흥행 24만 ㄷ ㄷ ㄷ,"


",https://gall.dcinside.com/board/view/?id=theaterM&no=3498956&search_pos=-3439687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.11.28 11:34:06,국내 창작극 웃는남자의 기록을 뛰어넘는 창작뮤가 또 나와라,"


",https://gall.dcinside.com/board/view/?id=theaterM&no=3498928&search_pos=-3439687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
dc,ㅇㅇ,2022.11.27 19:25:49,난 올해 입덕 늅인데 본거 감상평 남겨봄,"

난 정말
대극장 뮤지컬위주로 골라봤어
사실상 아직 뮤덕까진 아니라 잘은모르는데
그냥 내 개인적인 감상이야
지킬앤하이드 
데스노트 
웃는남자 
킹키부츠
엘리자벳
이렇게 5개봤는데 
지킬은 사실 다른것보다도 개인적으로
처음 파사드 앙상블들 합창이 너무
웅장하고 약간 몽환적인게 제일 기억에 남음
가장 처음 본 뮤지컬이고해서 
잘 기억이 나진않지만 보기전엔
뮤지컬 3시간가까이되는걸 어떻게보지?
이런 생각이었는데
보고 나니까 3시간이 얼마나 짧은 시간인지
알겠더라
데스노트는 죽음의 게임에서 
막이 오른다~하는데 너무 웅장하고 멋있더라
놈의 마음속에서도 테니스치는데
무대장치 미친듯이 돌아가고 
배우들 목소리도 울리고 개멋있었더라
근데 갠적으로 보고난뒤
다시 추억같은거 떠올리기엔
박제가 그리많지않은게
아쉬웠음
웃는남자는 본 뮤지컬중에 최고였는데 
내 입장에서 가장 이상적인 뮤지컬이었고
그때 배우가 박강현 배우였는데
그눈을떠가 유튜브에 박제된 그대로에다
모두의세상 같은 잘몰랐던 넘버들중에
좋은게 너무많았음
그중에서도 최고는 1막 끝날때
말도안돼 하면서 끝날때 진짜 최고였어
킹키부츠는 본 뮤지컬중에서 제일
밝았는데 가장 철학적인 메시지가 담겨있던거같음
우울한 사람들이 정말 한번쯤은 보면
좋겠음 레이즈유업은 말할것도 없고 
나는 소울오프맨이 그렇게 좋더라
1막 마지막 넘버에서 배우들 막 
춤추던데 그게 그렇게 화려하고 멋있었음 
엘리자벳은 다른 뮤들은
다 길어봐야 1년쯤되는 시간대였는데
여왕의 일생을 다 다루어서 그런지
내용이 어디하나 거를부분이없어서
은근 피로하더라 다만 그만큼
내용이 알찬거같음 
그때 죽음 배우분이 김준수 셨는데 
그 결혼식장면에 로프같은거타고
날라댕기시는거랑 
마지막춤 딱딱 추시는데 진짜 미쳤더라
엘리자벳 배우는 이지혜셨는데 
처음에 밝던 말괄량이 엘리자벳에서
점점 우울해져가고 늙어가는 연기를 하는데
정말 대단하다고 느꼈음  
리프라이즈 형식으로 같은 곡들은 
다양한 상황에 맞춰 변화시키는게
되게 인상깊었음 
당신처럼이랑 행복은 멀리 있어요가 
리프라이즈를 많이써서 그런지 
노래가 거를 노래가없음 
마지막춤 키치 난나의것 밀크
전부 미쳤었지만 개인적으로
내가춤추고싶을때가 개소름돋았음
근데 박효신이 죽음한거 유튜브에 있던데
진짜 나중에라도 볼수있음 좋겠더라
성량이 미쳤어
지금까지 본것들은 다 재밌게본거같은데
갠적으로 원탑은 웃는남자였어
그냥 심심해서 감상평적어봤는데
다들 추천 뮤지컬같은거 있는지 궁금하네
난 킹키안본사람들한텐 다른건몰라도
킹키만큼은 꼭 봤음 좋겠더라

",https://gall.dcinside.com/board/view/?id=theaterM&no=3498667&search_pos=-3439687&s_type=search_subject_memo&s_keyword=웃는남자&page=1
