source,nickname,date,title,text,href
twitter,kht4450,2022-11-30 14:45:28+00:00,,"RT @teuk2hae: 원더보이 음중👍 이젠 음방에서 이런 귀여움은 다신 못볼듯,,,,, 겸디 이특 추팔해욥 https://t.co/DvtGt8mD3T",https://twitter.com/twitter/status/1597965038643736581
twitter,Krahslen,2022-11-30 09:54:35+00:00,,"원더가 계속되면 
원더보이 피터",https://twitter.com/twitter/status/1597891835388493824
twitter,ruuuuuunis,2022-11-30 08:46:20+00:00,,다 보고 왔다! 재밌었고 꽃연테는 령구라고 하지만 나는 동해한테도 한표를.. 거울 보면서 U 부르는데 너무 잘생겨서 눈물이.. 그리고 마지막에 원더보이로 마무리 다들 보시죠🥹… https://t.co/41P9EE1PBi,https://twitter.com/twitter/status/1597874660234137603
twitter,bluee_dhelf,2022-11-28 11:11:18+00:00,,RT @makha_23: 이혁재가나의원더보이!!!!!!!! https://t.co/nDmMwx3MEz,https://twitter.com/twitter/status/1597186364411637760
twitter,00909d,2022-11-28 06:01:36+00:00,,"RT @kzc_teatime: 📌김지철 배우 데뷔 11주년, 티타임 7주년 이벤트 안내

당일 &lt;원더보이&gt; 유료예매자 분들께 머냥이&amp;딱지(핏.춀배우) 폴라로이드를 드립니다:)

8/21(낮공) 2시 - 2시 50분까지 선착순 랜덤 11명
8/21(밤…",https://twitter.com/twitter/status/1597108425011662848
twitter,StaRWtMooN_,2022-11-27 23:42:27+00:00,,"우주에 그토록 별이 많다면, 우리의 밤은 왜 이다지도 어두울까요?

/김연수, 원더보이",https://twitter.com/twitter/status/1597013011905990656
twitter,Cherry071219,2022-11-27 13:02:49+00:00,,"🐗 랜덤 트위터 문답
──────────────────
손체리님은 최근 빠진 노래가 있다면 무엇인가요?
https://t.co/seVs3pGUus 
심플리뷰리풀 원더보이 투매뷰걸 태완미 스윙 
(샤이니 아틀란티스^^)",https://twitter.com/twitter/status/1596852042596700160
twitter,Cherry071219,2022-11-27 13:00:55+00:00,,"🐬 랜덤 트위터 문답
──────────────────
손체리님은 ‘하이틴’ 하면 가장 먼저 떠오르는 노래가 무엇인가요?
https://t.co/seVs3pGUus 
""원더보이"" ""런어웨이"" 
죄송합니다...",https://twitter.com/twitter/status/1596851564026556416
twitter,kyumaniac1,2022-11-27 11:55:41+00:00,,RT @makha_23: 이혁재가나의원더보이!!!!!!!! https://t.co/nDmMwx3MEz,https://twitter.com/twitter/status/1596835146250027009
twitter,makha_23,2022-11-27 11:33:40+00:00,,이혁재가나의원더보이!!!!!!!! https://t.co/nDmMwx3MEz,https://twitter.com/twitter/status/1596829605335560197
twitter,5E3nighds2QbBs0,2022-11-27 10:47:20+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596817946151907329
twitter,memory_with__,2022-11-27 10:10:35+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596808697568952320
twitter,b_____b00,2022-11-27 06:16:41+00:00,,"너는 이미 온전해. 우린 완벽하기 때문에 여기 살아 있는 거야. 
생명이란 원래 온전한 것이니까.

원더보이, 김연수",https://twitter.com/twitter/status/1596749833997783040
twitter,5E3nighds2QbBs0,2022-11-27 05:49:19+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596742949177790464
twitter,kht4450,2022-11-27 01:04:56+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596671381068214272
twitter,SolHernndez3,2022-11-26 20:33:02+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596602954122944514
twitter,doob00_25,2022-11-26 16:44:16+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596545383102296066
twitter,22sjbb,2022-11-26 16:44:04+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596545333718568960
twitter,wy0121n,2022-11-26 16:38:54+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596544033605976064
twitter,CHERRYday0306,2022-11-26 14:30:50+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596511804452376579
twitter,odasaraic,2022-11-26 13:41:02+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596499272182046721
twitter,ParkJungSu520,2022-11-26 13:18:38+00:00,,RT @2teukieteukie: 인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596493632584159232
twitter,2teukieteukie,2022-11-26 13:01:15+00:00,,인간 원더보이 박정수💙 https://t.co/tVf9XYmOvR,https://twitter.com/twitter/status/1596489259510530049
twitter,0n_ondo,2022-11-26 12:48:24+00:00,,원더보이 넘 좋음 .. 🐬💙,https://twitter.com/twitter/status/1596486024334835715
twitter,E_AN0901,2022-11-26 11:10:52+00:00,,@round_1013 원더보이 사고싶어요!!!,https://twitter.com/twitter/status/1596461478953246722
twitter,teruterutt1,2022-11-26 08:11:04+00:00,,"RT @littlelady_bot2: 우울에는 절망과는 다른, 나름의 침몰 방식이 있었다. 절망이 강물 속으로 빠져드는 일이라면, 그래서 어느 정도 내려가면 다시 딛고 올라설 바닥에 닿는 식의 침몰이라면, 우울은 바닥을 짐작할 수 없는 심해로 빠져드…",https://twitter.com/twitter/status/1596416232714276864
twitter,aprettyroom,2022-11-26 08:01:26+00:00,,"RT @littlelady_bot2: 우울에는 절망과는 다른, 나름의 침몰 방식이 있었다. 절망이 강물 속으로 빠져드는 일이라면, 그래서 어느 정도 내려가면 다시 딛고 올라설 바닥에 닿는 식의 침몰이라면, 우울은 바닥을 짐작할 수 없는 심해로 빠져드…",https://twitter.com/twitter/status/1596413809362497537
twitter,MybooisE,2022-11-26 02:57:53+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596337419183214592
twitter,Crazy__Jewelry,2022-11-26 02:04:43+00:00,,나도 흑발 이혁재 원더보이 볼 수 있는데... https://t.co/z4SBTgEsKb,https://twitter.com/twitter/status/1596324037281865730
twitter,mry2jzx,2022-11-26 00:56:21+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596306832762744835
twitter,Dash_houseparty,2022-11-26 00:35:17+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596301532202340352
twitter,reiiaaa_,2022-11-26 00:33:44+00:00,,"RT @hyukeerang_44: 원더보이 청량상큼 혁재🐰

https://t.co/G5GfmA11ZS

#은혁 #EUNHYUK https://t.co/pSt7rNlN3K",https://twitter.com/twitter/status/1596301140563755008
